Id,Label,name,Degree
n0,Armelle Goubard,Armelle Goubard,10
n1,Bertrand Nadel,Bertrand Nadel,10
n2,Dominique Payet-Bornet,Dominique Payet-Bornet,10
n3,Laurent Pouyet,Laurent Pouyet,10
n4,Marie Loosveld,Marie Loosveld,10
n5,Norbert Vey,Norbert Vey,10
n6,Rémy Castellano,Rémy Castellano,10
n7,Stéphanie Gon,Stéphanie Gon,10
n8,Thomas Crouzet,Thomas Crouzet,10
n9,Thomas Prebet,Thomas Prebet,10
n10,Agostina Nardone,Agostina Nardone,17
n11,Bert O'Malley,Bert O'Malley,17
n12,Bin He,Bin He,17
n13,C Osborne,C Osborne,17
n14,Chad Creighton,Chad Creighton,17
n15,Constantine Mitsiades,Constantine Mitsiades,17
n16,Cristian Coarfa,Cristian Coarfa,17
n17,James Bradner,James Bradner,269
n18,Lei Wang,Lei Wang,17
n19,Martin Shea,Martin Shea,17
n20,Nicholas Mitsiades,Nicholas Mitsiades,17
n21,Qin Feng,Qin Feng,17
n22,Rachel Schiff,Rachel Schiff,17
n23,Rainer Lanz,Rainer Lanz,17
n24,Susan Hilsenbeck,Susan Hilsenbeck,17
n25,Xiaoyong Fu,Xiaoyong Fu,17
n26,Yongcheng Song,Yongcheng Song,17
n27,Amilcar Tanuri,Amilcar Tanuri,11
n28,Erica Mendes,Erica Mendes,11
n29,George Thompson,George Thompson,11
n30,Greg Melcher,Greg Melcher,11
n31,Guochun Jiang,Guochun Jiang,11
n32,Joseph Wong,Joseph Wong,11
n33,Luiz Pianowski,Luiz Pianowski,11
n34,Mariana Weber,Mariana Weber,11
n35,Philipp Kaiser,Philipp Kaiser,11
n36,Satya Dandekar,Satya Dandekar,11
n37,Sumathi Sankaran-Walters,Sumathi Sankaran-Walters,11
n38,D Murray,D Murray,10
n39,J Chen,J Chen,10
n40,J Cheng,J Cheng,10
n41,L Yu,L Yu,10
n42,L Zhang,L Zhang,10
n43,L Zheng,L Zheng,10
n44,Q Tu,Q Tu,10
n45,S Kim,S Kim,10
n46,S Meng,S Meng,10
n47,X Zhou,X Zhou,10
n48,Andrea Griesinger,Andrea Griesinger,12
n49,Brian Cristiano,Brian Cristiano,12
n50,Diane Birks,Diane Birks,12
n51,Ilango Balakrishnan,Ilango Balakrishnan,12
n52,Irina Alimova,Irina Alimova,12
n53,Marc Remke,Marc Remke,12
n54,Michael Handler,Michael Handler,12
n55,Michael Taylor,Michael Taylor,12
n56,Nicholas Foreman,Nicholas Foreman,12
n57,Peter Harris,Peter Harris,12
n58,Rajeev Vibhakar,Rajeev Vibhakar,12
n59,Sujatha Venkataraman,Sujatha Venkataraman,12
n60,Aditya Shroff,Aditya Shroff,20
n61,Amy Rappaport,Amy Rappaport,15
n62,Chong Chen,Chong Chen,20
n63,Christopher Vakoc,Christopher Vakoc,44
n64,Johannes Zuber,Johannes Zuber,45
n65,Kevin Shannon,Kevin Shannon,15
n66,Michelle LeBeau,Michelle LeBeau,15
n67,Nikolaus Schultz,Nikolaus Schultz,15
n68,Ross Dickins,Ross Dickins,15
n69,Scott Kogan,Scott Kogan,15
n70,Scott Lowe,Scott Lowe,20
n71,Thomas Kitzing,Thomas Kitzing,15
n72,Wendy Stock,Wendy Stock,15
n73,Yu Liu,Yu Liu,20
n74,C-Y Chen,C-Y Chen,6
